-Участковая избирательная комиссия №613	ТИК №  3	Лазарев Юрий Алексеевич	Член	"Санкт-Петербургская региональная общественная организация ""Развитие гражданского общества ""Паритет"""
+Участковая избирательная комиссия №613	ТИК №  3	Лазарев Герасим Викторович	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования Княжево"
+Участковая избирательная комиссия №617	ТИК №  3	Головачева Анастасия Анатольевна	Член	Кировское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №617	ТИК №  3	Матвиенко Сергей Сергеевич	Член	"Санкт-Петербургская социально-просветительская, культурная общественная организация ""Нева"""
-Участковая избирательная комиссия №617	ТИК №  3	Назаров Юрий Николаевич	Член	Кировское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №617	ТИК №  3	Крылова Елена Евгеньевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №617	ТИК №  3	Петухов Андрей Дмитриевич	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №617	ТИК №  3	Хмелин Максим Эдуардович	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №618	ТИК №  3	Борисенко Михаил Александрович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №618	ТИК №  3	Лапшин Андрей Анатольевич	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №618	ТИК №  3	Мицкевич Светлана Валерьевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №618	ТИК №  3	Никитин Антон Александрович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №622	ТИК №  3	Вовненко Юлия Геннадьевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №622	ТИК №  3	Глушенкова Елена Михайловна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №622	ТИК №  3	Голополосова Наталья Петровна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования Княжево"
-Участковая избирательная комиссия №622	ТИК №  3	Гусенкова Вера Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №622	ТИК №  3	Дровецкая Ксения Сергеевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №622	ТИК №  3	Лебедева Наталья Владимировна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №622	ТИК №  3	Маслова Валерия Викторовна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №622	ТИК №  3	Цурцумия Кетеван Омаровна	Член	"Кировское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №622	ТИК №  3	Цурцумия Нино Омаровна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №623	ТИК №  3	Бжания Анна Николаевна	Председатель	представительный орган муниципального образования
+Участковая избирательная комиссия №622	ТИК №  3	Самсонова Екатерина Сергеевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №623	ТИК №  3	Лебедев Ян Владимирович	Председатель	"Региональная правозащитная общественная организация ""Милосердие"""
-Участковая избирательная комиссия №623	ТИК №  3	Власова Светлана Викторовна	Секретарь	"Санкт-Петербургская социально-просветительская, культурная общественная организация ""Нева"""
+Участковая избирательная комиссия №623	ТИК №  3	Аникеев Александр Андреевич	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №623	ТИК №  3	Лебедев Ян Владимирович	Член	"Региональная правозащитная общественная организация ""Милосердие"""
-Участковая избирательная комиссия №623	ТИК №  3	Лебедева Валерия Сергеевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №623	ТИК №  3	Лир Ксения Михайловна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №623	ТИК №  3	Михайлова Людмила Анатольевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №623	ТИК №  3	Шаврина Анна Александровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №623	ТИК №  3	Шигина Татьяна Николаевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №628	ТИК №  3	Зайцев Роман Вячеславович	Член	"Межрегиональная общественная организация ""Центр содействия реализации социальных инициатив ""Живой Питер"""
+Участковая избирательная комиссия №628	ТИК №  3	Егорова Людмила Игоревна	Член	Кировское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №628	ТИК №  3	Змушко Андрей Петрович	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №628	ТИК №  3	Леденев Никита Борисович	Член	Кировское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №628	ТИК №  3	Наталушко Наталья Анатольевна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №628	ТИК №  3	Смирнова Екатерина Сергеевна	Член	"Межрегиональная общественная организация ""Центр содействия реализации социальных инициатив ""Живой Питер"""
-Участковая избирательная комиссия №629	ТИК №  3	Егорова Эльвира Вячеславовна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №629	ТИК №  3	Лужкова Валерия Валерьевна	Член	собрание избирателей по месту жительства
