-Участковая избирательная комиссия №1508	ТИК №  5	Смирнова Светлана Павловна	Зам.председателя	представительный орган муниципального образования
+Участковая избирательная комиссия №1508	ТИК №  5	Жукова Елена Васильевна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1523	ТИК №  5	Заводенко Егор Александрович	Член	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
-Участковая избирательная комиссия №1523	ТИК №  5	Кривцун Борис Павлович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1523	ТИК №  5	Михайлова Валентина Владимировна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1523	ТИК №  5	Зыкова Ольга Валерьевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1523	ТИК №  5	Ивлева Дарья Анатольевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1523	ТИК №  5	Лантратова Алла Григорьевна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1523	ТИК №  5	Савичева Анна Андреевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1523	ТИК №  5	Мустапаев Тимур Федорович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №1523	ТИК №  5	Панфилова Елена Александровна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1523	ТИК №  5	Толстопятова Анастасия Александровна	Член	"Санкт-Петербургская региональная общественная организация инвалидов ""Союз""Чернобыль-Нева"""
+Участковая избирательная комиссия №1525	ТИК №  5	Королева Наталья Вячеславовна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1525	ТИК №  5	Лузакова Екатерина Сергеевна	Член	"САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""
-Участковая избирательная комиссия №1525	ТИК №  5	Ружененко Дмитрий Игоревич	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
+Участковая избирательная комиссия №1525	ТИК №  5	Ярославцева Светлана Альбертовна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1530	ТИК №  5	Волкова Анастасия Сергеевна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1530	ТИК №  5	Кузнецова Екатерина Юрьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1535	ТИК №  5	Васильева София Игоревна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1535	ТИК №  5	Голосова София Игоревна	Член	собрание избирателей по месту жительства
