-Участковая избирательная комиссия №1795	ТИК №  9	Колобова Анна Андреевна	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №1795	ТИК №  9	Алпатов Александр Евгеньевич	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №1795	ТИК №  9	Алпатов Артём Евгеньевич	Член	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №1795	ТИК №  9	Горне Станислав Дмитриевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1795	ТИК №  9	Омельянович Елена Владимировна	Член	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
-Участковая избирательная комиссия №1795	ТИК №  9	Румянцев Кирилл Олегович	Член	"САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""
-Участковая избирательная комиссия №1795	ТИК №  9	Торопыгин Андрей Валентинович	Член	"Приморское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №1808	ТИК №  9	Ульянкина Анна Сергеевна	Зам.председателя	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1808	ТИК №  9	Сарбатов Илья Олегович	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1808	ТИК №  9	Сарбатов Илья Олегович	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1808	ТИК №  9	Ульянкина Анна Сергеевна	Секретарь	собрание избирателей по месту жительства
