+Участковая избирательная комиссия №222	ТИК № 10	Белова Светлана Анатольевна	Зам.председателя	представительный орган муниципального образования
-Участковая избирательная комиссия №222	ТИК № 10	Белова Светлана Анатольевна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №225	ТИК № 10	Васильева Светлана Алентиновна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №225	ТИК № 10	Васильева Светлана Алентиновна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №227	ТИК № 10	Рогова Светлана Юрьевна	Секретарь	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
+Участковая избирательная комиссия №227	ТИК № 10	Полякова Светлана Геннадьевна	Секретарь	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №227	ТИК № 10	Полякова Светлана Геннадьевна	Член	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №227	ТИК № 10	Рогова Светлана Юрьевна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
+Участковая избирательная комиссия №228	ТИК № 10	Безрукова Инна Александровна	Секретарь	"Санкт-Петербургское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ"""
-Участковая избирательная комиссия №228	ТИК № 10	Безрукова Инна Александровна	Член	"Санкт-Петербургское региональное отделение политической партии ""ПАТРИОТЫ РОССИИ"""
-Участковая избирательная комиссия №232	ТИК № 10	Вилачев Сергей Алексеевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №232	ТИК № 10	Вилачев Сергей Алексеевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №233	ТИК № 10	Амосова Татьяна Васильевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №233	ТИК № 10	Амосова Татьяна Васильевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №234	ТИК № 10	Сураева Нина Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №234	ТИК № 10	Сураева Нина Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №236	ТИК № 10	Ксенофонтова Людмила Борисовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №236	ТИК № 10	Ксенофонтова Людмила Борисовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №237	ТИК № 10	Верескун Людмила Леонидовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №237	ТИК № 10	Верескун Людмила Леонидовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №238	ТИК № 10	Верескун Ирина Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №238	ТИК № 10	Верескун Ирина Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №238	ТИК № 10	Дмитриева Анна Владимировна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №238	ТИК № 10	Цветкова Любовь Алексеевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №240	ТИК № 10	Молчанова Ксения Сергеевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №240	ТИК № 10	Молчанова Ксения Сергеевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №241	ТИК № 10	Комаровская Елизавета Владимировна	Председатель	представительный орган муниципального образования
+Участковая избирательная комиссия №241	ТИК № 10	Ханжова Анна Евгеньевна	Председатель	"Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №241	ТИК № 10	Баранцева Анастасия Юрьевна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №241	ТИК № 10	Баранцева Анастасия Юрьевна	Секретарь	представительный орган муниципального образования
-Участковая избирательная комиссия №241	ТИК № 10	Молчанов Иван Сергеевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №241	ТИК № 10	Малявская Наталия Александровна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №241	ТИК № 10	Молчанов Иван Сергеевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №241	ТИК № 10	Ханжова Анна Евгеньевна	Член	"Выборгское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии  ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №242	ТИК № 10	Шеповалова Анастасия Константиновна	Секретарь	собрание избирателей по месту жительства
-Участковая избирательная комиссия №242	ТИК № 10	Бабинцева Филюза Камаловна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №242	ТИК № 10	Германовский Артем Олегович	Секретарь	представительный орган муниципального образования
+Участковая избирательная комиссия №242	ТИК № 10	Бабинцева Филюза Камаловна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №242	ТИК № 10	Германовский Артем Олегович	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №242	ТИК № 10	Шеповалова Анастасия Константиновна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №243	ТИК № 10	Фролкова Нина Витальевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №243	ТИК № 10	Фролкова Нина Витальевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №244	ТИК № 10	Фролкова Любовь Леонидовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №244	ТИК № 10	Фролкова Любовь Леонидовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
