-Участковая избирательная комиссия №414	ТИК № 38	Суморокова Вера Андреевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №414	ТИК № 38	Суморокова Вера Андреевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №415	ТИК № 38	Глуховская Полина Александровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №415	ТИК № 38	Калинина Анастасия Леонидовна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №415	ТИК № 38	Поляков Василий Владимирович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №415	ТИК № 38	Поляков Василий Владимирович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №417	ТИК № 38	Носовицкий Евгений Дмитриевич	Секретарь	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №417	ТИК № 38	Носовицкий Евгений Дмитриевич	Секретарь	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №418	ТИК № 38	Берняк Александр Викторович	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №418	ТИК № 38	Шевелев Юрий Александрович	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №418	ТИК № 38	Берняк Александр Викторович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №418	ТИК № 38	Лазарев Илья Викторович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
