-Участковая избирательная комиссия №444	ТИК № 40	Архипова Нина Игнатьевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №444	ТИК № 40	Архипова Нина Игнатьевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №445	ТИК № 40	Солодова Валентина Георгиевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №445	ТИК № 40	Солодова Валентина Георгиевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №446	ТИК № 40	Андреева Нина Михайловна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №446	ТИК № 40	Андреева Нина Михайловна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №447	ТИК № 40	Ляпина Светлана Васильевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №447	ТИК № 40	Ляпина Светлана Васильевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №448	ТИК № 40	Кушнир Лариса Михайловна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №448	ТИК № 40	Кушнир Лариса Михайловна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №449	ТИК № 40	Иванов Евгений Юрьевич	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №449	ТИК № 40	Шевелев Юрий Александрович	Зам.председателя	собрание избирателей по месту работы
-Участковая избирательная комиссия №449	ТИК № 40	Икоева Марина Сергеевна	Секретарь	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №449	ТИК № 40	Яковлева Екатерина Андреевна	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №449	ТИК № 40	Роянская Марина Владимировна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №449	ТИК № 40	Кричевцова Елена Андреевна	Секретарь	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №449	ТИК № 40	Гончарова Татьяна Алексеевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №449	ТИК № 40	Зуева Валентина Васильевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №449	ТИК № 40	Мухортов Кирилл Михайлович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №449	ТИК № 40	Николаева Наталья Сергеевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №450	ТИК № 40	Иванова Ольга Петровна	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №450	ТИК № 40	Москвичева Наталья Игоревна	Зам.председателя	собрание избирателей по месту жительства
-Участковая избирательная комиссия №450	ТИК № 40	Ширякова Яна Сергеевна	Секретарь	собрание избирателей по месту жительства
