-Участковая избирательная комиссия №1086	ТИК № 46	Голованова Юлия Сергеевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1086	ТИК № 46	Цистова Екатерина Андреевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1087	ТИК № 46	Петров Александр Павлович	Зам.председателя	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
-Участковая избирательная комиссия №1087	ТИК № 46	Цветкова Марина Вадимовна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №1087	ТИК № 46	Демидкина Галина Тихоновна	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1087	ТИК № 46	Свалова Наталья Александровна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1087	ТИК № 46	Солдатова Галина Владимировна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1087	ТИК № 46	Сухинина Людмила Григорьевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №1087	ТИК № 46	Шавенько Галина Владимировна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1087	ТИК № 46	Бровкина Надежда Михайловна	Член	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
+Участковая избирательная комиссия №1087	ТИК № 46	Кисиев Руслан Темурович	Член	"Политическая партия ""НОВЫЕ ЛЮДИ"""
+Участковая избирательная комиссия №1087	ТИК № 46	Лобачева Ольга Анатольевна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №1087	ТИК № 46	Медведев Олег Алексеевич	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №1087	ТИК № 46	Смирнов Матвей Сергеевич	Член	"Санкт-Петербургская Общественная организация в поддержку молодежи ""МИР МОЛОДЕЖИ"""
+Участковая избирательная комиссия №1087	ТИК № 46	Утко Алан Александрович	Член	"Общественная организация ""Всероссийское общество автомобилистов"""
+Участковая избирательная комиссия №1087	ТИК № 46	Харебова Альбина Михайловна	Член	"Региональное отделение Политической партии ""Российская партия пенсионеров за социальную справедливость"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1088	ТИК № 46	Марченко Сергей Михайлович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1089	ТИК № 46	Гузенко Ирина Николаевна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
