-Участковая избирательная комиссия №1443	ТИК № 50	Григорьева Вера Михайловна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1443	ТИК № 50	Григорьева Вера Михайловна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1444	ТИК № 50	Львов Борис Анатольевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1444	ТИК № 50	Львов Борис Анатольевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1445	ТИК № 50	Гергиленко Татьяна Юрьевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1445	ТИК № 50	Гергиленко Татьяна Юрьевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1446	ТИК № 50	Ковков Андрей Львович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1446	ТИК № 50	Ковков Андрей Львович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1447	ТИК № 50	Бурякова Елена Анатольевна	Председатель	"Санкт-Петербургская региональная общественная организация инвалидов ""Союз""Чернобыль-Нева"""
+Участковая избирательная комиссия №1447	ТИК № 50	Никурадзе Давид Нодариевич	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №1447	ТИК № 50	Волкова Елена Григорьевна	Секретарь	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
