-Участковая избирательная комиссия №1612	ТИК № 54	Шабашов Вадим Анатольевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1612	ТИК № 54	Шабашов Вадим Анатольевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1613	ТИК № 54	Прускайте Илона Альгирдасовна	Председатель	представительный орган муниципального образования
-Участковая избирательная комиссия №1613	ТИК № 54	Копылова Любовь Дмитриевна	Зам.председателя	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1613	ТИК № 54	Бухтина Анастасия Александровна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
-Участковая избирательная комиссия №1613	ТИК № 54	Елагин Сергей Владимирович	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1613	ТИК № 54	Копылова Анастасия Евгеньевна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1613	ТИК № 54	Петренко Ольга Евгеньевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1613	ТИК № 54	Мануйлов Виктор Алексеевич	Председатель	представительный орган муниципального образования
+Участковая избирательная комиссия №1613	ТИК № 54	Румянцев Евгений Сергеевич	Зам.председателя	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1613	ТИК № 54	Бутаева Диана Руслановна	Секретарь	представительный орган муниципального образования
+Участковая избирательная комиссия №1613	ТИК № 54	Петренко Ольга Евгеньевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1613	ТИК № 54	Пожарицкая Елена Александровна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
-Участковая избирательная комиссия №1613	ТИК № 54	Свирский Юлиан Григорьевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1614	ТИК № 54	Корабельников Кирилл Алексеевич	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
+Участковая избирательная комиссия №1613	ТИК № 54	Тихомирова Екатерина Николаевна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1613	ТИК № 54	Фатеева Оксана Владимировна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1613	ТИК № 54	Хардаминова Анна Ивановна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1614	ТИК № 54	Баскакова Яна Алексеевна	Председатель	представительный орган муниципального образования
-Участковая избирательная комиссия №1614	ТИК № 54	Баскакова Яна Алексеевна	Секретарь	представительный орган муниципального образования
+Участковая избирательная комиссия №1614	ТИК № 54	Корабельников Кирилл Алексеевич	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
-Участковая избирательная комиссия №1615	ТИК № 54	Антусенко Юлия Юрьевна	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
-Участковая избирательная комиссия №1615	ТИК № 54	Субботина Елена Владимировна	Зам.председателя	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1615	ТИК № 54	Бойцова Ирина Александровна	Секретарь	представительный орган муниципального образования
+Участковая избирательная комиссия №1615	ТИК № 54	Бойцова Ирина Александровна	Председатель	представительный орган муниципального образования
+Участковая избирательная комиссия №1615	ТИК № 54	Антусенко Юлия Юрьевна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
+Участковая избирательная комиссия №1615	ТИК № 54	Брянцев Иван Алексеевич	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1615	ТИК № 54	Душина Наталья Валерьевна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1615	ТИК № 54	Мартьянова Александра Львовна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1615	ТИК № 54	Поручиков Родион Михайлович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1615	ТИК № 54	Поручиков Родион Михайлович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1616	ТИК № 54	Синицына Елена Витальевна	Председатель	представительный орган муниципального образования
-Участковая избирательная комиссия №1616	ТИК № 54	Бойко Василий Тимофеевич	Зам.председателя	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
+Участковая избирательная комиссия №1616	ТИК № 54	Гусева Надежда Сергеевна	Председатель	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №1616	ТИК № 54	Синицына Елена Витальевна	Зам.председателя	представительный орган муниципального образования
+Участковая избирательная комиссия №1616	ТИК № 54	Абдрахманов Радик Рафикович	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1616	ТИК № 54	Гусева Надежда Сергеевна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
-Участковая избирательная комиссия №1616	ТИК № 54	Зазнобкина Ирина Алексеевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №1616	ТИК № 54	Калинина Ольга Игоревна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1616	ТИК № 54	Бойко Василий Тимофеевич	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Введенский"
+Участковая избирательная комиссия №1616	ТИК № 54	Зазнобкина Ирина Алексеевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1617	ТИК № 54	Бойко Елена Васильевна	Зам.председателя	представительный орган муниципального образования
-Участковая избирательная комиссия №1617	ТИК № 54	Беликова Юлия Александровна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1617	ТИК № 54	Збарская Людмила Николаевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1617	ТИК № 54	Кривошонок Сергей Сергеевич	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1617	ТИК № 54	Розова Анна Михайловна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1617	ТИК № 54	Панкратова Галина Алексеевна	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1617	ТИК № 54	Сергунов Евгений Юрьевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1618	ТИК № 54	Колядин Сергей Николаевич	Зам.председателя	представительный орган муниципального образования
+Участковая избирательная комиссия №1618	ТИК № 54	Агафонов Алексей Александрович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №1618	ТИК № 54	Алексеева Анастасия Михайловна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1618	ТИК № 54	Петрова Валентина Владимировна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1618	ТИК № 54	Жданова Лариса Владимировна	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1618	ТИК № 54	Лаврова Наталия Павловна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1618	ТИК № 54	Смирнова Светлана Петровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1618	ТИК № 54	Смирнова Светлана Петровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №1619	ТИК № 54	Дьяченко Василий Владимирович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №1619	ТИК № 54	Иванова Валентина Ивановна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1619	ТИК № 54	Евграфов Дмитрий Андреевич	Председатель	представительный орган муниципального образования
+Участковая избирательная комиссия №1619	ТИК № 54	Евграфова Олеся Андреевна	Секретарь	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1619	ТИК № 54	Васильев Александр Васильевич	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1619	ТИК № 54	Дьяченко Василий Владимирович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1619	ТИК № 54	Кононов Александр Константинович	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1619	ТИК № 54	Медюлянова Марианна Валерьевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1619	ТИК № 54	Протопопов Николай Алексеевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1619	ТИК № 54	Худиев Сулейман Сулейман-Оглы	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1620	ТИК № 54	Плотникова Елена Евгеньевна	Секретарь	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
+Участковая избирательная комиссия №1620	ТИК № 54	Дорофеева Елена Евгеньевна	Секретарь	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
+Участковая избирательная комиссия №1620	ТИК № 54	Алсуфьева Ольга Валерьевна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1620	ТИК № 54	Галкин Владимир Александрович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №1620	ТИК № 54	Лебедь Мария Владимировна	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №1620	ТИК № 54	Мадера Михаил Геннадьевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1620	ТИК № 54	Мадера Михаил Геннадьевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1620	ТИК № 54	Молодцов Николай Александрович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1621	ТИК № 54	Дорощенко Анна Витальевна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1621	ТИК № 54	Иванов Дмитрий Александрович	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №1621	ТИК № 54	Мокрикова Анна Витальевна	Член	представительный орган муниципального образования
-Участковая избирательная комиссия №1621	ТИК № 54	Хребтова Милена Станиславовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №1622	ТИК № 54	Иванов Юрий Евгеньевич	Председатель	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" муниципального образования муниципального округа Кронверкское"
-Участковая избирательная комиссия №1622	ТИК № 54	Харитонова Ольга Викторовна	Зам.председателя	представительный орган муниципального образования
+Участковая избирательная комиссия №1621	ТИК № 54	Танкович Даниил Александрович	Член	Петроградское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1621	ТИК № 54	Хребтова Милена Станиславовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1622	ТИК № 54	Дегтярева Елена Александровна	Председатель	представительный орган муниципального образования
-Участковая избирательная комиссия №1622	ТИК № 54	Горовая Энна Игоревна	Член	"Региональное отделение в Санкт-Петербурге Всероссийской политической партии ""ПАРТИЯ РОСТА"""
+Участковая избирательная комиссия №1622	ТИК № 54	Дегтярев Владимир Владимирович	Член	представительный орган муниципального образования
+Участковая избирательная комиссия №1622	ТИК № 54	Земкова Надежда Олеговна	Член	представительный орган муниципального образования
