-Участковая избирательная комиссия №2206	ТИК № 64	Леонтьева Галина Ивановна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2206	ТИК № 64	Леонтьева Галина Ивановна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2207	ТИК № 64	Зинкевич Игорь Константинович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2207	ТИК № 64	Зинкевич Игорь Константинович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2208	ТИК № 64	Дмитриевская Ольга Олеговна	Председатель	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №2208	ТИК № 64	Асланова Анаида Варастатовна	Зам.председателя	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2208	ТИК № 64	Бойкова Ирина Александровна	Секретарь	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2208	ТИК № 64	Булгакова Евгения Андреевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2208	ТИК № 64	Виноградова Марина Викторовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №2208	ТИК № 64	Гаус Вероника Юрьевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №2208	ТИК № 64	Мурашин Алексей Викторович	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №2208	ТИК № 64	Малеванная Ирина Валентиновна	Зам.председателя	собрание избирателей по месту работы
+Участковая избирательная комиссия №2208	ТИК № 64	Налабродина Екатерина Викторовна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №2208	ТИК № 64	Левина Елена Александровна	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №2208	ТИК № 64	Дегтярева Анна Германовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2208	ТИК № 64	Ежов Владимир Михайлович	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2208	ТИК № 64	Имполитова Мария Вячеславовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2208	ТИК № 64	Лазовский Сергей Александрович	Член	"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""
+Участковая избирательная комиссия №2208	ТИК № 64	Ларионов Артур Сергеевич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2208	ТИК № 64	Тихонов Сергей Георгиевич	Член	"Центральное местное (районнное) отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
-Участковая избирательная комиссия №2208	ТИК № 64	Тихонова Анна Олеговна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2208	ТИК № 64	Филина Татьяна Вячеславовна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №2208	ТИК № 64	Сизанов Денис Владимирович	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2208	ТИК № 64	Татаркина Людмила	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2209	ТИК № 64	Каменко Ольга Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2209	ТИК № 64	Каменко Ольга Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2210	ТИК № 64	Либерг Галина Валентиновна	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №2210	ТИК № 64	Царькова Надежда Сергеевна	Зам.председателя	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2210	ТИК № 64	Титкова Евгения Николаевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №2210	ТИК № 64	Расторгуев Владимир Кириллович	Председатель	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №2210	ТИК № 64	Логвенова Кира Алексеевна	Зам.председателя	собрание избирателей по месту работы
+Участковая избирательная комиссия №2210	ТИК № 64	Михалева Ксения Сергеевна	Секретарь	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №2210	ТИК № 64	Болюнов Михаил Дмитриевич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2210	ТИК № 64	Жукова Марина Борисовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №2210	ТИК № 64	Ермолаева Виктория Александровна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2210	ТИК № 64	Корнеев Роман Игоревич	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2210	ТИК № 64	Кресанова Александра Алексеевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2210	ТИК № 64	Михалева Ксения Сергеевна	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №2210	ТИК № 64	Моисеенко Екатерина Федоровна	Член	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №2210	ТИК № 64	Расторгуев Владимир Кириллович	Член	Центральное местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №2210	ТИК № 64	Титкова Мария Алексеевна	Член	"Региональная общественная организация поддержки и развития молодежного творчества ""Гаудеамус"""
-Участковая избирательная комиссия №2210	ТИК № 64	Шнырева Инна Игоревна	Член	собрание избирателей по месту жительства
